iucn_id,sci_name,vuln,mp_particles_ml,log_mp_particles_ml,distance_km,log_toxic_pressure,eco_risk_score,eco_risk_index,eco_risk_class,geometry
55850,Lampyris noctiluca,1,3.1427859108567264e-10,-9.50130551890966,211.70481154813135,-10.916278866880479,1.2126099657141247e-11,8.327925740748688e-08,medium,POINT (564161.390727 6625653.94228)
55851,Lampyris noctiluca,1,3.107112772414056e-10,-9.506247485323039,212.27559721451618,-10.921220833293857,1.1988895278515595e-11,8.233397110318047e-08,medium,POINT (564504.176835 6625179.466081)
55852,Lampyris noctiluca,1,2.6355141792283103e-11,-10.562961029764358,335.6356332943173,-11.977934377735176,1.0521208381647338e-12,6.9837294031016085e-09,low,POINT (569293.66453 6472681.600908)
55853,Lampyris noctiluca,1,8.323338386729036e-11,-10.074515752254293,278.1363770257993,-11.48948910022511,3.239745533357326e-12,2.2055636612201466e-08,low,POINT (574498.629961 6544795.77824)
55854,Lampyris noctiluca,1,8.749133100792405e-11,-10.053099272577077,275.6418171004612,-11.468072620547895,3.4035127310740053e-12,2.3183930699073072e-08,low,POINT (578991.707249 6551521.547288)
55855,Lampyris noctiluca,1,6.516383705323503e-12,-11.123991057622716,405.50282403134537,-12.538964405593534,2.8909168097398057e-13,1.726746941581057e-09,low,POINT (580257.13156 6399698.384648)
55856,Lampyris noctiluca,1,2.2309125894306352e-10,-9.649575083522194,228.83975677968843,-11.064548431493012,8.618894574733216e-12,5.911594014310411e-08,medium,POINT (581551.38762 6619641.927996)
55857,Lampyris noctiluca,1,3.045955986058901e-11,-10.502247357728454,328.3988079328851,-11.917220705699272,1.2099830715611158e-12,8.071340517933199e-09,low,POINT (594346.004614 6497013.102301)
55858,Lampyris noctiluca,1,2.3892014116083174e-11,-10.603939961402203,340.54158952853595,-12.018913309373021,9.573851583108907e-13,6.331036379802925e-09,low,POINT (602694.966423 6488046.517167)
55859,Lampyris noctiluca,1,6.460875443101662e-12,-11.127210210355553,405.9305615074313,-12.542183558326371,2.8695674781160187e-13,1.7120380591151966e-09,low,POINT (625080.948668 6424248.823266)
55860,Lampyris noctiluca,1,8.530425362912054e-11,-10.063967798929863,276.90758681598504,-11.47894114690068,3.3193943703507883e-12,2.2604386991147294e-08,low,POINT (628540.936553 6601781.896346)
55861,Lampyris noctiluca,1,5.746589627437479e-12,-11.17091570572727,411.78847428451195,-12.585889053698088,2.5948421643990284e-13,1.5227627028151618e-09,low,POINT (630694.45663 6420909.676117)
55862,Lampyris noctiluca,1,3.2383767731106396e-06,-5.489672489984282,162.78722952664933,-6.9046458379551,1.2455299127348617e-07,0.0008581227627967516,high,POINT (330090.019887 6590156.947538)
55863,Lampyris noctiluca,1,2.667743516246529e-06,-5.57385576414722,172.47919043759617,-6.988829112118038,1.0260555831717417e-07,0.0007069132460444492,high,POINT (338228.777102 6583136.717218)
55864,Lampyris noctiluca,1,7.496579836178004e-10,-9.124557892104322,168.23794877958127,-10.53953124007514,2.88714609083769e-11,1.9864846653924832e-07,medium,POINT (349213.027481 6606809.439057)
55865,Lampyris noctiluca,1,4.656727894702674e-10,-9.330987521007767,192.0446418649167,-10.745960868978585,1.79489534411641e-11,1.2339651889105328e-07,medium,POINT (357838.729545 6579346.468135)
55866,Lampyris noctiluca,1,1.4822469858288542e-09,-8.828786525538444,134.15308035973484,-10.243759873509262,5.704796099341754e-11,3.92773901168034e-07,medium,POINT (372085.702992 6635457.587409)
55867,Lampyris noctiluca,1,1.7658022875570438e-09,-8.752812047113014,125.40078181618479,-10.167785395083833,6.795393413680923e-11,4.6791193357521683e-07,medium,POINT (373907.698041 6644025.727496)
55868,Lampyris noctiluca,1,4.896007512010454e-10,-9.309271791143455,189.53928953783333,-10.724245139114274,1.886925966157863e-11,1.2973708086611548e-07,medium,POINT (374224.95859 6578469.3899)
55869,Lampyris noctiluca,1,1.6225124038538632e-09,-8.789544388956854,129.63224814091083,-10.204517736927672,6.244278476361005e-11,4.2994219765530204e-07,medium,POINT (375920.020476 6639177.518246)
55870,Lampyris noctiluca,1,4.46492846854452e-10,-9.349213902463083,194.14763382819962,-10.764187250433901,1.721126334055586e-11,1.1831411295100691e-07,medium,POINT (377106.834303 6573356.426343)
55871,Lampyris noctiluca,1,5.158730202140727e-10,-9.286616136584394,186.92577029640992,-10.701589484555212,1.9879731546695108e-11,1.3669885018758448e-07,medium,POINT (379960.881256 6580246.872739)
55872,Lampyris noctiluca,1,2.018281788077198e-09,-8.694803071612238,118.718711390071,-10.109776419583056,7.766468415681535e-11,5.348153304667992e-07,medium,POINT (383563.16328 6648729.931579)
55873,Lampyris noctiluca,1,6.265882805343402e-10,-9.202325174942954,177.20431905954908,-10.617298522913773,2.4138010789782286e-11,1.6603678450661337e-07,medium,POINT (385486.780779 6589356.773992)
55874,Lampyris noctiluca,1,6.182672632058023e-10,-9.208121877821627,177.87276137816946,-10.623095225792445,2.3817971661761638e-11,1.638318358920688e-07,medium,POINT (386033.958378 6588624.053499)
